X_Value,Voltage_0,Voltage_1,Voltage_2,Voltage_3
1.76,0.031242,0.005986,1.293743,0.004201
1.765,0.031242,0.005986,1.309042,0.001652
1.77,0.031242,0.011084,1.288644,0.001652
1.775,0.041442,0.000888,1.288644,-0.000897
1.78,0.033792,0.005986,1.306492,-0.005994
1.785,0.033792,0.013633,1.283544,-0.000897
1.79,0.031242,-0.001661,1.306492,0.004201
1.795,0.031242,0.005986,1.303942,-0.008543
1.8,0.033792,0.005986,1.288644,-0.000897
1.805,0.033792,0.003437,1.311591,-0.000897
1.81,0.026142,0.005986,1.298843,-0.008543
1.815,0.038892,0.003437,1.309042,0.004201
1.82,0.033792,0.000888,1.316691,-0.000897
1.825,0.033792,0.011084,1.303942,-0.000897
1.83,0.038892,0.000888,1.309042,-0.000897
1.835,0.026142,0.011084,1.306492,0.001652
1.84,0.038892,0.008535,1.296293,0.004201
1.845,0.033792,0.005986,1.309042,-0.000897
1.85,0.026142,0.013633,1.303942,-0.000897
1.855,0.041442,0.000888,1.303942,-0.003445
1.86,0.028692,0.011084,1.298843,-0.008543
1.865,0.033792,0.005986,1.296293,0.004201
1.87,0.033792,0.003437,1.311591,-0.000897
1.875,0.026142,0.011084,1.301392,-0.000897
1.88,0.041442,0.000888,1.296293,0.004201
1.885,0.026142,0.005986,1.309042,-0.008543
1.89,0.033792,0.005986,1.288644,0.004201
1.895,0.031242,0.005986,1.314141,-0.000897
1.9,0.028692,0.013633,1.298843,0.001652
1.905,0.038892,0.000888,1.301392,-0.000897
1.91,0.031242,0.013633,1.301392,-0.000897
1.915,0.031242,0.000888,1.298843,0.004201
1.92,0.026142,0.003437,1.293743,-0.005994
1.925,0.038892,0.000888,1.291194,0.004201
1.93,0.033792,0.005986,1.311591,-0.005994
1.935,0.033792,0.005986,1.291194,-0.000897
1.94,0.038892,0.000888,1.309042,0.001652
1.945,0.033792,0.008535,1.311591,-0.005994
1.95,0.038892,0.005986,1.303942,0.004201
1.955,0.033792,0.008535,1.309042,-0.005994
1.96,0.033792,0.005986,1.296293,0.004201
1.965,0.033792,0.003437,1.303942,-0.000897
1.97,0.031242,0.013633,1.306492,0.001652
1.975,0.038892,0.005986,1.306492,0.004201
1.98,0.033792,0.003437,1.303942,-0.005994
1.985,0.026142,0.013633,1.296293,0.001652
1.99,0.041442,0.000888,1.298843,-0.000897
1.995,0.026142,0.005986,1.309042,-0.008543
2,0.033792,0.008535,1.301392,-0.000897
2.005,0.033792,0.000888,1.316691,-0.000897
2.01,0.033792,0.011084,1.306492,-0.000897
2.015,0.033792,0.000888,1.311591,0.004201
2.02,0.028692,0.011084,1.306492,-0.008543
2.025,0.038892,0.005986,1.303942,0.004201
2.03,0.028692,0.000888,1.32434,-0.000897
2.035,0.038892,0.003437,1.311591,-0.000897
2.04,0.031242,0.000888,1.311591,-0.003445
2.045,0.033792,0.013633,1.303942,-0.000897
2.05,0.033792,0.003437,1.32434,-0.000897
2.055,0.031242,0.013633,1.303942,-0.000897
2.06,0.033792,0.000888,1.316691,0.004201
2.065,0.036342,0.011084,1.301392,-0.005994
2.07,0.031242,0.003437,1.303942,-0.000897
2.075,0.033792,0.005986,1.309042,-0.005994
2.08,0.038892,0.003437,1.303942,0.004201
2.085,0.028692,0.005986,1.316691,-0.000897
2.09,0.033792,0.013633,1.303942,-0.000897
2.095,0.036342,0.003437,1.309042,0.004201
2.1,0.028692,0.005986,1.309042,-0.005994
2.105,0.038892,0.005986,1.303942,-0.000897
2.11,0.033792,0.000888,1.309042,-0.000897
2.115,0.026142,0.005986,1.309042,-0.000897
2.12,0.031242,0.013633,1.301392,-0.000897
2.125,0.041442,0.003437,1.298843,0.004201
2.13,0.031242,0.005986,1.309042,-0.005994
2.135,0.031242,0.011084,1.303942,-0.000897
2.14,0.038892,0.000888,1.303942,0.004201
2.145,0.033792,0.005986,1.309042,-0.000897
2.15,0.033792,0.003437,1.306492,-0.005994
2.155,0.038892,0.005986,1.309042,0.004201
2.16,0.033792,0.000888,1.309042,-0.000897
2.165,0.028692,0.003437,1.296293,-0.005994
2.17,0.038892,0.005986,1.298843,0.004201
2.175,0.033792,0.003437,1.319241,-0.005994
2.18,0.026142,0.013633,1.303942,-0.000897
2.185,0.038892,0.003437,1.303942,0.004201
2.19,0.033792,0.000888,1.306492,-0.000897
2.195,0.026142,0.013633,1.306492,-0.005994
2.2,0.033792,0.013633,1.296293,-0.000897
2.205,0.038892,0.013633,1.296293,-0.000897
2.21,0.031242,0.003437,1.309042,-0.000897
2.215,0.031242,0.005986,1.301392,-0.005994
2.22,0.038892,0.005986,1.301392,0.004201
2.225,0.026142,0.005986,1.286094,-0.000897
2.23,0.033792,0.011084,1.275895,-0.000897
2.235,0.031242,0.005986,1.288644,0.004201
2.24,0.026142,0.005986,1.278445,-0.008543
2.245,0.038892,0.005986,1.283544,-0.000897
2.25,0.031242,0.000888,1.288644,-0.003445
2.255,0.028692,0.013633,1.286094,0.001652
2.26,0.033792,0.005986,1.283544,0.004201
2.265,0.033792,0.005986,1.286094,-0.000897
2.27,0.026142,0.013633,1.278445,-0.000897
2.275,0.041442,0.000888,1.268246,0.004201
2.28,0.033792,0.005986,1.288644,-0.005994
2.285,0.033792,0.005986,1.268246,0.004201
2.29,0.033792,-0.001661,1.280995,0.001652
2.295,0.033792,0.013633,1.275895,-0.008543
2.3,0.038892,0.005986,1.288644,-0.003445
2.305,0.026142,0.005986,1.278445,-0.000897
2.31,0.036342,0.011084,1.278445,-0.000897
2.315,0.038892,0.005986,1.288644,0.004201
2.32,0.026142,0.003437,1.288644,-0.008543
2.325,0.033792,0.005986,1.280995,-0.000897
2.33,0.033792,0.000888,1.286094,-0.000897
2.335,0.026142,0.011084,1.286094,-0.005994
2.34,0.041442,0.005986,1.286094,0.004201
2.345,0.033792,0.005986,1.283544,0.001652
2.35,0.028692,0.013633,1.288644,-0.000897
2.355,0.041442,0.000888,1.291194,0.004201
2.36,0.028692,0.013633,1.273345,-0.008543
2.365,0.038892,0.005986,1.273345,0.004201
2.37,0.033792,0.003437,1.286094,-0.005994
2.375,0.033792,0.008535,1.265696,0.004201
2.38,0.031242,0.005986,1.268246,-0.000897
2.385,0.033792,0.011084,1.255497,-0.000897
2.39,0.031242,0.003437,1.268246,0.001652
2.395,0.033792,0.013633,1.247848,0.001652
2.4,0.033792,0.000888,1.265696,0.004201
2.405,0.033792,0.013633,1.252948,-0.005994
2.41,0.038892,0.003437,1.265696,0.004201
2.415,0.031242,0.008535,1.275895,-0.008543
2.42,0.036342,0.005986,1.247848,-0.000897
2.425,0.038892,0.000888,1.268246,-0.000897
2.43,0.033792,0.005986,1.258047,-0.005994
2.435,0.033792,0.000888,1.245298,0.004201
2.44,0.028692,0.005986,1.247848,-0.008543
2.445,0.036342,0.005986,1.245298,-0.000897
2.45,0.028692,0.005986,1.245298,-0.000897
2.455,0.031242,0.011084,1.237649,0.001652
2.46,0.033792,0.003437,1.245298,0.004201
2.465,0.026142,0.013633,1.242749,-0.000897
2.47,0.033792,0.005986,1.237649,0.004201
2.475,0.028692,0.003437,1.240199,-0.005994
2.48,0.031242,0.005986,1.23255,-0.003445
2.485,0.033792,0.000888,1.260597,-0.000897
2.49,0.023592,0.013633,1.250398,-0.005994
2.495,0.031242,0.003437,1.260597,0.001652
2.5,0.031242,0.000888,1.252948,0.001652
2.505,0.033792,0.011084,1.247848,-0.000897
2.51,0.033792,0.000888,1.247848,-0.000897
2.515,0.031242,0.013633,1.242749,-0.008543
2.52,0.038892,0.005986,1.250398,0.001652
2.525,0.026142,0.003437,1.250398,-0.005994
2.53,0.041442,0.005986,1.265696,-0.000897
2.535,0.028692,0.005986,1.268246,-0.003445
2.54,0.041442,0.005986,1.273345,0.004201
2.545,0.033792,0.005986,1.268246,-0.005994
2.55,0.033792,0.008535,1.291194,0.001652
2.555,0.033792,0.005986,1.268246,0.004201
2.56,0.026142,0.005986,1.288644,-0.000897
2.565,0.031242,0.011084,1.273345,-0.000897
2.57,0.031242,0.005986,1.283544,0.004201
2.575,0.028692,0.005986,1.265696,-0.005994
2.58,0.038892,0.003437,1.286094,0.004201
2.585,0.028692,0.013633,1.288644,-0.008543
2.59,0.038892,0.005986,1.288644,-0.000897
2.595,0.031242,0.005986,1.296293,-0.005994
2.6,0.033792,0.005986,1.273345,-0.000897
2.605,0.033792,0.000888,1.283544,0.004201
2.61,0.026142,0.005986,1.273345,-0.005994
2.615,0.038892,0.005986,1.288644,0.004201
2.62,0.028692,0.005986,1.288644,-0.005994
2.625,0.041442,0.005986,1.278445,-0.000897
2.63,0.033792,0.000888,1.296293,-0.000897
2.635,0.033792,0.013633,1.275895,-0.003445
2.64,0.038892,0.005986,1.301392,0.004201
2.645,0.033792,0.005986,1.303942,-0.008543
2.65,0.033792,0.005986,1.288644,0.004201
2.655,0.033792,0.008535,1.301392,-0.005994
2.66,0.033792,0.011084,1.288644,-0.003445
2.665,0.038892,0.000888,1.293743,-0.000897
2.67,0.028692,0.011084,1.283544,-0.000897
2.675,0.038892,0.003437,1.288644,0.00675
2.68,0.033792,0.005986,1.296293,-0.008543
2.685,0.033792,0.003437,1.293743,0.004201
2.69,0.033792,0.005986,1.314141,-0.005994
2.695,0.026142,0.011084,1.270796,-0.000897
2.7,0.038892,0.000888,1.291194,0.004201
2.705,0.033792,0.008535,1.298843,-0.000897
2.71,0.033792,0.011084,1.303942,-0.000897
2.715,0.041442,0.000888,1.298843,0.001652
2.72,0.026142,0.013633,1.298843,-0.008543
2.725,0.038892,0.005986,1.288644,0.004201
2.73,0.033792,0.008535,1.303942,-0.000897
2.735,0.031242,0.011084,1.298843,-0.000897
2.74,0.033792,0.000888,1.311591,0.004201
2.745,0.033792,0.011084,1.280995,-0.005994
2.75,0.038892,0.003437,1.280995,0.004201
2.755,0.028692,0.003437,1.291194,-0.005994
2.76,0.038892,0.005986,1.298843,0.004201
2.765,0.026142,0.003437,1.291194,-0.000897
2.77,0.038892,0.005986,1.293743,-0.000897
2.775,0.028692,0.003437,1.301392,-0.000897
2.78,0.033792,0.013633,1.296293,-0.000897
2.785,0.031242,0.000888,1.301392,-0.000897
2.79,0.033792,0.013633,1.306492,-0.000897
2.795,0.038892,0.003437,1.298843,0.004201
